,"AL,01,001,Autauga County,H1"
112,"AR,05,005,Baxter County,H1"
113,"AR,05,007,Benton County,H1"
114,"AR,05,009,Boone County,H1"
115,"AR,05,011,Bradley County,H1"
116,"AR,05,013,Calhoun County,H1"
117,"AR,05,015,Carroll County,H1"
118,"AR,05,017,Chicot County,H1"
119,"AR,05,019,Clark County,H1"
120,"AR,05,021,Clay County,H1"
121,"AR,05,023,Cleburne County,H1"
122,"AR,05,025,Cleveland County,H1"
123,"AR,05,027,Columbia County,H1"
124,"AR,05,029,Conway County,H1"
125,"AR,05,031,Craighead County,H1"
126,"AR,05,033,Crawford County,H1"
127,"AR,05,035,Crittenden County,H1"
128,"AR,05,037,Cross County,H1"
129,"AR,05,039,Dallas County,H1"
130,"AR,05,041,Desha County,H1"
131,"AR,05,043,Drew County,H1"
132,"AR,05,045,Faulkner County,H1"
133,"AR,05,047,Franklin County,H1"
134,"AR,05,049,Fulton County,H1"
135,"AR,05,051,Garland County,H1"
136,"AR,05,053,Grant County,H1"
137,"AR,05,055,Greene County,H1"
138,"AR,05,057,Hempstead County,H1"
139,"AR,05,059,Hot Spring County,H1"
140,"AR,05,061,Howard County,H1"
141,"AR,05,063,Independence County,H1"
142,"AR,05,065,Izard County,H1"
143,"AR,05,067,Jackson County,H1"
144,"AR,05,069,Jefferson County,H1"
145,"AR,05,071,Johnson County,H1"
146,"AR,05,073,Lafayette County,H1"
147,"AR,05,075,Lawrence County,H1"
148,"AR,05,077,Lee County,H1"
149,"AR,05,079,Lincoln County,H1"
150,"AR,05,081,Little River County,H1"
151,"AR,05,083,Logan County,H1"
152,"AR,05,085,Lonoke County,H1"
153,"AR,05,087,Madison County,H1"
154,"AR,05,089,Marion County,H1"
155,"AR,05,091,Miller County,H1"
156,"AR,05,093,Mississippi County,H1"
157,"AR,05,095,Monroe County,H1"
158,"AR,05,097,Montgomery County,H1"
159,"AR,05,099,Nevada County,H1"
160,"AR,05,101,Newton County,H1"
161,"AR,05,103,Ouachita County,H1"
162,"AR,05,105,Perry County,H1"
163,"AR,05,107,Phillips County,H1"
164,"AR,05,109,Pike County,H1"
165,"AR,05,111,Poinsett County,H1"
166,"AR,05,113,Polk County,H1"
167,"AR,05,115,Pope County,H1"
168,"AR,05,117,Prairie County,H1"
169,"AR,05,119,Pulaski County,H1"
170,"AR,05,121,Randolph County,H1"
171,"AR,05,123,St. Francis County,H1"
172,"AR,05,125,Saline County,H1"
173,"AR,05,127,Scott County,H1"
174,"AR,05,129,Searcy County,H1"
175,"AR,05,131,Sebastian County,H1"
176,"AR,05,133,Sevier County,H1"
177,"AR,05,135,Sharp County,H1"
178,"AR,05,137,Stone County,H1"
179,"AR,05,139,Union County,H1"
180,"AR,05,141,Van Buren County,H1"
181,"AR,05,143,Washington County,H1"
182,"AR,05,145,White County,H1"
183,"AR,05,147,Woodruff County,H1"
184,"AR,05,149,Yell County,H1"
185,"CA,06,001,Alameda County,H1"
186,"CA,06,003,Alpine County,H1"
187,"CA,06,005,Amador County,H1"
188,"CA,06,007,Butte County,H1"
189,"CA,06,009,Calaveras County,H1"
