,"AL,01,001,Autauga County,H1"
686,"IL,17,185,Wabash County,H1"
687,"IL,17,187,Warren County,H1"
688,"IL,17,189,Washington County,H1"
689,"IL,17,191,Wayne County,H1"
690,"IL,17,193,White County,H1"
691,"IL,17,195,Whiteside County,H1"
692,"IL,17,197,Will County,H1"
693,"IL,17,199,Williamson County,H1"
694,"IL,17,201,Winnebago County,H1"
695,"IL,17,203,Woodford County,H1"
696,"IN,18,001,Adams County,H1"
697,"IN,18,003,Allen County,H1"
698,"IN,18,005,Bartholomew County,H1"
699,"IN,18,007,Benton County,H1"
700,"IN,18,009,Blackford County,H1"
701,"IN,18,011,Boone County,H1"
702,"IN,18,013,Brown County,H1"
703,"IN,18,015,Carroll County,H1"
704,"IN,18,017,Cass County,H1"
705,"IN,18,019,Clark County,H1"
706,"IN,18,021,Clay County,H1"
707,"IN,18,023,Clinton County,H1"
708,"IN,18,025,Crawford County,H1"
709,"IN,18,027,Daviess County,H1"
710,"IN,18,029,Dearborn County,H1"
711,"IN,18,031,Decatur County,H1"
712,"IN,18,033,DeKalb County,H1"
713,"IN,18,035,Delaware County,H1"
714,"IN,18,037,Dubois County,H1"
715,"IN,18,039,Elkhart County,H1"
716,"IN,18,041,Fayette County,H1"
717,"IN,18,043,Floyd County,H1"
718,"IN,18,045,Fountain County,H1"
719,"IN,18,047,Franklin County,H1"
720,"IN,18,049,Fulton County,H1"
721,"IN,18,051,Gibson County,H1"
722,"IN,18,053,Grant County,H1"
723,"IN,18,055,Greene County,H1"
724,"IN,18,057,Hamilton County,H1"
725,"IN,18,059,Hancock County,H1"
726,"IN,18,061,Harrison County,H1"
727,"IN,18,063,Hendricks County,H1"
728,"IN,18,065,Henry County,H1"
729,"IN,18,067,Howard County,H1"
730,"IN,18,069,Huntington County,H1"
731,"IN,18,071,Jackson County,H1"
732,"IN,18,073,Jasper County,H1"
733,"IN,18,075,Jay County,H1"
734,"IN,18,077,Jefferson County,H1"
735,"IN,18,079,Jennings County,H1"
736,"IN,18,081,Johnson County,H1"
737,"IN,18,083,Knox County,H1"
738,"IN,18,085,Kosciusko County,H1"
739,"IN,18,087,LaGrange County,H1"
740,"IN,18,089,Lake County,H1"
741,"IN,18,091,LaPorte County,H1"
742,"IN,18,093,Lawrence County,H1"
743,"IN,18,095,Madison County,H1"
744,"IN,18,097,Marion County,H6"
745,"IN,18,099,Marshall County,H1"
746,"IN,18,101,Martin County,H1"
747,"IN,18,103,Miami County,H1"
748,"IN,18,105,Monroe County,H1"
749,"IN,18,107,Montgomery County,H1"
750,"IN,18,109,Morgan County,H1"
751,"IN,18,111,Newton County,H1"
752,"IN,18,113,Noble County,H1"
753,"IN,18,115,Ohio County,H1"
754,"IN,18,117,Orange County,H1"
755,"IN,18,119,Owen County,H1"
756,"IN,18,121,Parke County,H1"
757,"IN,18,123,Perry County,H1"
758,"IN,18,125,Pike County,H1"
759,"IN,18,127,Porter County,H1"
760,"IN,18,129,Posey County,H1"
761,"IN,18,131,Pulaski County,H1"
762,"IN,18,133,Putnam County,H1"
763,"IN,18,135,Randolph County,H1"
764,"IN,18,137,Ripley County,H1"
765,"IN,18,139,Rush County,H1"
766,"IN,18,141,St. Joseph County,H1"
767,"IN,18,143,Scott County,H1"
768,"IN,18,145,Shelby County,H1"
769,"IN,18,147,Spencer County,H1"
770,"IN,18,149,Starke County,H1"
771,"IN,18,151,Steuben County,H1"
772,"IN,18,153,Sullivan County,H1"
773,"IN,18,155,Switzerland County,H1"
774,"IN,18,157,Tippecanoe County,H1"
775,"IN,18,159,Tipton County,H1"
776,"IN,18,161,Union County,H1"
777,"IN,18,163,Vanderburgh County,H1"
778,"IN,18,165,Vermillion County,H1"
779,"IN,18,167,Vigo County,H1"
780,"IN,18,169,Wabash County,H1"
781,"IN,18,171,Warren County,H1"
782,"IN,18,173,Warrick County,H1"
783,"IN,18,175,Washington County,H1"
784,"IN,18,177,Wayne County,H1"
785,"IN,18,179,Wells County,H1"
786,"IN,18,181,White County,H1"
787,"IN,18,183,Whitley County,H1"
788,"IA,19,001,Adair County,H1"
789,"IA,19,003,Adams County,H1"
790,"IA,19,005,Allamakee County,H1"
791,"IA,19,007,Appanoose County,H1"
792,"IA,19,009,Audubon County,H1"
793,"IA,19,011,Benton County,H1"
794,"IA,19,013,Black Hawk County,H1"
795,"IA,19,015,Boone County,H1"
796,"IA,19,017,Bremer County,H1"
797,"IA,19,019,Buchanan County,H1"
798,"IA,19,021,Buena Vista County,H1"
799,"IA,19,023,Butler County,H1"
800,"IA,19,025,Calhoun County,H1"
801,"IA,19,027,Carroll County,H1"
802,"IA,19,029,Cass County,H1"
803,"IA,19,031,Cedar County,H1"
804,"IA,19,033,Cerro Gordo County,H1"
805,"IA,19,035,Cherokee County,H1"
806,"IA,19,037,Chickasaw County,H1"
807,"IA,19,039,Clarke County,H1"
808,"IA,19,041,Clay County,H1"
809,"IA,19,043,Clayton County,H1"
810,"IA,19,045,Clinton County,H1"
811,"IA,19,047,Crawford County,H1"
812,"IA,19,049,Dallas County,H1"
813,"IA,19,051,Davis County,H1"
814,"IA,19,053,Decatur County,H1"
815,"IA,19,055,Delaware County,H1"
816,"IA,19,057,Des Moines County,H1"
817,"IA,19,059,Dickinson County,H1"
818,"IA,19,061,Dubuque County,H1"
819,"IA,19,063,Emmet County,H1"
820,"IA,19,065,Fayette County,H1"
821,"IA,19,067,Floyd County,H1"
822,"IA,19,069,Franklin County,H1"
823,"IA,19,071,Fremont County,H1"
824,"IA,19,073,Greene County,H1"
825,"IA,19,075,Grundy County,H1"
826,"IA,19,077,Guthrie County,H1"
827,"IA,19,079,Hamilton County,H1"
828,"IA,19,081,Hancock County,H1"
829,"IA,19,083,Hardin County,H1"
830,"IA,19,085,Harrison County,H1"
831,"IA,19,087,Henry County,H1"
832,"IA,19,089,Howard County,H1"
833,"IA,19,091,Humboldt County,H1"
834,"IA,19,093,Ida County,H1"
835,"IA,19,095,Iowa County,H1"
836,"IA,19,097,Jackson County,H1"
837,"IA,19,099,Jasper County,H1"
838,"IA,19,101,Jefferson County,H1"
839,"IA,19,103,Johnson County,H1"
840,"IA,19,105,Jones County,H1"
841,"IA,19,107,Keokuk County,H1"
842,"IA,19,109,Kossuth County,H1"
843,"IA,19,111,Lee County,H1"
844,"IA,19,113,Linn County,H1"
845,"IA,19,115,Louisa County,H1"
846,"IA,19,117,Lucas County,H1"
847,"IA,19,119,Lyon County,H1"
848,"IA,19,121,Madison County,H1"
849,"IA,19,123,Mahaska County,H1"
850,"IA,19,125,Marion County,H1"
851,"IA,19,127,Marshall County,H1"
852,"IA,19,129,Mills County,H1"
853,"IA,19,131,Mitchell County,H1"
854,"IA,19,133,Monona County,H1"
855,"IA,19,135,Monroe County,H1"
856,"IA,19,137,Montgomery County,H1"
857,"IA,19,139,Muscatine County,H1"
858,"IA,19,141,O'Brien County,H1"
859,"IA,19,143,Osceola County,H1"
860,"IA,19,145,Page County,H1"
861,"IA,19,147,Palo Alto County,H1"
862,"IA,19,149,Plymouth County,H1"
863,"IA,19,151,Pocahontas County,H1"
864,"IA,19,153,Polk County,H1"
865,"IA,19,155,Pottawattamie County,H1"
866,"IA,19,157,Poweshiek County,H1"
867,"IA,19,159,Ringgold County,H1"
868,"IA,19,161,Sac County,H1"
869,"IA,19,163,Scott County,H1"
870,"IA,19,165,Shelby County,H1"
871,"IA,19,167,Sioux County,H1"
872,"IA,19,169,Story County,H1"
873,"IA,19,171,Tama County,H1"
874,"IA,19,173,Taylor County,H1"
875,"IA,19,175,Union County,H1"
876,"IA,19,177,Van Buren County,H1"
877,"IA,19,179,Wapello County,H1"
878,"IA,19,181,Warren County,H1"
879,"IA,19,183,Washington County,H1"
880,"IA,19,185,Wayne County,H1"
881,"IA,19,187,Webster County,H1"
882,"IA,19,189,Winnebago County,H1"
883,"IA,19,191,Winneshiek County,H1"
884,"IA,19,193,Woodbury County,H1"
885,"IA,19,195,Worth County,H1"
886,"IA,19,197,Wright County,H1"
887,"KS,20,001,Allen County,H1"
888,"KS,20,003,Anderson County,H1"
889,"KS,20,005,Atchison County,H1"
890,"KS,20,007,Barber County,H1"
891,"KS,20,009,Barton County,H1"
892,"KS,20,011,Bourbon County,H1"
893,"KS,20,013,Brown County,H1"
894,"KS,20,015,Butler County,H1"
895,"KS,20,017,Chase County,H1"
896,"KS,20,019,Chautauqua County,H1"
897,"KS,20,021,Cherokee County,H1"
898,"KS,20,023,Cheyenne County,H1"
899,"KS,20,025,Clark County,H1"
900,"KS,20,027,Clay County,H1"
901,"KS,20,029,Cloud County,H1"
902,"KS,20,031,Coffey County,H1"
903,"KS,20,033,Comanche County,H1"
904,"KS,20,035,Cowley County,H1"
905,"KS,20,037,Crawford County,H1"
906,"KS,20,039,Decatur County,H1"
907,"KS,20,041,Dickinson County,H1"
908,"KS,20,043,Doniphan County,H1"
909,"KS,20,045,Douglas County,H1"
910,"KS,20,047,Edwards County,H1"
911,"KS,20,049,Elk County,H1"
912,"KS,20,051,Ellis County,H1"
913,"KS,20,053,Ellsworth County,H1"
914,"KS,20,055,Finney County,H1"
915,"KS,20,057,Ford County,H1"
916,"KS,20,059,Franklin County,H1"
917,"KS,20,061,Geary County,H1"
918,"KS,20,063,Gove County,H1"
919,"KS,20,065,Graham County,H1"
920,"KS,20,067,Grant County,H1"
921,"KS,20,069,Gray County,H1"
922,"KS,20,071,Greeley County,H1"
923,"KS,20,073,Greenwood County,H1"
924,"KS,20,075,Hamilton County,H1"
925,"KS,20,077,Harper County,H1"
926,"KS,20,079,Harvey County,H1"
927,"KS,20,081,Haskell County,H1"
928,"KS,20,083,Hodgeman County,H1"
929,"KS,20,085,Jackson County,H1"
930,"KS,20,087,Jefferson County,H1"
931,"KS,20,089,Jewell County,H1"
932,"KS,20,091,Johnson County,H1"
933,"KS,20,093,Kearny County,H1"
934,"KS,20,095,Kingman County,H1"
935,"KS,20,097,Kiowa County,H1"
936,"KS,20,099,Labette County,H1"
937,"KS,20,101,Lane County,H1"
938,"KS,20,103,Leavenworth County,H1"
939,"KS,20,105,Lincoln County,H1"
940,"KS,20,107,Linn County,H1"
941,"KS,20,109,Logan County,H1"
942,"KS,20,111,Lyon County,H1"
943,"KS,20,113,McPherson County,H1"
944,"KS,20,115,Marion County,H1"
945,"KS,20,117,Marshall County,H1"
946,"KS,20,119,Meade County,H1"
947,"KS,20,121,Miami County,H1"
948,"KS,20,123,Mitchell County,H1"
949,"KS,20,125,Montgomery County,H1"
950,"KS,20,127,Morris County,H1"
951,"KS,20,129,Morton County,H1"
952,"KS,20,131,Nemaha County,H1"
953,"KS,20,133,Neosho County,H1"
954,"KS,20,135,Ness County,H1"
955,"KS,20,137,Norton County,H1"
956,"KS,20,139,Osage County,H1"
957,"KS,20,141,Osborne County,H1"
958,"KS,20,143,Ottawa County,H1"
959,"KS,20,145,Pawnee County,H1"
960,"KS,20,147,Phillips County,H1"
961,"KS,20,149,Pottawatomie County,H1"
962,"KS,20,151,Pratt County,H1"
963,"KS,20,153,Rawlins County,H1"
964,"KS,20,155,Reno County,H1"
965,"KS,20,157,Republic County,H1"
966,"KS,20,159,Rice County,H1"
967,"KS,20,161,Riley County,H1"
968,"KS,20,163,Rooks County,H1"
969,"KS,20,165,Rush County,H1"
970,"KS,20,167,Russell County,H1"
971,"KS,20,169,Saline County,H1"
972,"KS,20,171,Scott County,H1"
973,"KS,20,173,Sedgwick County,H1"
974,"KS,20,175,Seward County,H1"
975,"KS,20,177,Shawnee County,H1"
976,"KS,20,179,Sheridan County,H1"
977,"KS,20,181,Sherman County,H1"
978,"KS,20,183,Smith County,H1"
979,"KS,20,185,Stafford County,H1"
980,"KS,20,187,Stanton County,H1"
981,"KS,20,189,Stevens County,H1"
982,"KS,20,191,Sumner County,H1"
983,"KS,20,193,Thomas County,H1"
984,"KS,20,195,Trego County,H1"
985,"KS,20,197,Wabaunsee County,H1"
986,"KS,20,199,Wallace County,H1"
987,"KS,20,201,Washington County,H1"
988,"KS,20,203,Wichita County,H1"
989,"KS,20,205,Wilson County,H1"
990,"KS,20,207,Woodson County,H1"
991,"KS,20,209,Wyandotte County,H6"
992,"KY,21,001,Adair County,H1"
993,"KY,21,003,Allen County,H1"
994,"KY,21,005,Anderson County,H1"
995,"KY,21,007,Ballard County,H1"
996,"KY,21,009,Barren County,H1"
997,"KY,21,011,Bath County,H1"
998,"KY,21,013,Bell County,H1"
999,"KY,21,015,Boone County,H1"
1000,"KY,21,017,Bourbon County,H1"
1001,"KY,21,019,Boyd County,H1"
1002,"KY,21,021,Boyle County,H1"
1003,"KY,21,023,Bracken County,H1"
1004,"KY,21,025,Breathitt County,H1"
1005,"KY,21,027,Breckinridge County,H1"
1006,"KY,21,029,Bullitt County,H1"
1007,"KY,21,031,Butler County,H1"
1008,"KY,21,033,Caldwell County,H1"
1009,"KY,21,035,Calloway County,H1"
1010,"KY,21,037,Campbell County,H1"
1011,"KY,21,039,Carlisle County,H1"
1012,"KY,21,041,Carroll County,H1"
1013,"KY,21,043,Carter County,H1"
1014,"KY,21,045,Casey County,H1"
1015,"KY,21,047,Christian County,H1"
1016,"KY,21,049,Clark County,H1"
1017,"KY,21,051,Clay County,H1"
1018,"KY,21,053,Clinton County,H1"
1019,"KY,21,055,Crittenden County,H1"
1020,"KY,21,057,Cumberland County,H1"
1021,"KY,21,059,Daviess County,H1"
1022,"KY,21,061,Edmonson County,H1"
1023,"KY,21,063,Elliott County,H1"
1024,"KY,21,065,Estill County,H1"
1025,"KY,21,067,Fayette County,H6"
1026,"KY,21,069,Fleming County,H1"
1027,"KY,21,071,Floyd County,H1"
1028,"KY,21,073,Franklin County,H1"
1029,"KY,21,075,Fulton County,H1"
1030,"KY,21,077,Gallatin County,H1"
1031,"KY,21,079,Garrard County,H1"
1032,"KY,21,081,Grant County,H1"
1033,"KY,21,083,Graves County,H1"
1034,"KY,21,085,Grayson County,H1"
1035,"KY,21,087,Green County,H1"
1036,"KY,21,089,Greenup County,H1"
1037,"KY,21,091,Hancock County,H1"
1038,"KY,21,093,Hardin County,H1"
1039,"KY,21,095,Harlan County,H1"
1040,"KY,21,097,Harrison County,H1"
1041,"KY,21,099,Hart County,H1"
1042,"KY,21,101,Henderson County,H1"
1043,"KY,21,103,Henry County,H1"
1044,"KY,21,105,Hickman County,H1"
1045,"KY,21,107,Hopkins County,H1"
1046,"KY,21,109,Jackson County,H1"
1047,"KY,21,111,Jefferson County,H1"
1048,"KY,21,113,Jessamine County,H1"
1049,"KY,21,115,Johnson County,H1"
1050,"KY,21,117,Kenton County,H1"
1051,"KY,21,119,Knott County,H1"
1052,"KY,21,121,Knox County,H1"
1053,"KY,21,123,Larue County,H1"
1054,"KY,21,125,Laurel County,H1"
1055,"KY,21,127,Lawrence County,H1"
1056,"KY,21,129,Lee County,H1"
1057,"KY,21,131,Leslie County,H1"
1058,"KY,21,133,Letcher County,H1"
1059,"KY,21,135,Lewis County,H1"
1060,"KY,21,137,Lincoln County,H1"
1061,"KY,21,139,Livingston County,H1"
1062,"KY,21,141,Logan County,H1"
1063,"KY,21,143,Lyon County,H1"
1064,"KY,21,145,McCracken County,H1"
1065,"KY,21,147,McCreary County,H1"
1066,"KY,21,149,McLean County,H1"
1067,"KY,21,151,Madison County,H1"
1068,"KY,21,153,Magoffin County,H1"
1069,"KY,21,155,Marion County,H1"
1070,"KY,21,157,Marshall County,H1"
1071,"KY,21,159,Martin County,H1"
1072,"KY,21,161,Mason County,H1"
1073,"KY,21,163,Meade County,H1"
1074,"KY,21,165,Menifee County,H1"
1075,"KY,21,167,Mercer County,H1"
1076,"KY,21,169,Metcalfe County,H1"
1077,"KY,21,171,Monroe County,H1"
1078,"KY,21,173,Montgomery County,H1"
1079,"KY,21,175,Morgan County,H1"
1080,"KY,21,177,Muhlenberg County,H1"
1081,"KY,21,179,Nelson County,H1"
1082,"KY,21,181,Nicholas County,H1"
1083,"KY,21,183,Ohio County,H1"
1084,"KY,21,185,Oldham County,H1"
1085,"KY,21,187,Owen County,H1"
1086,"KY,21,189,Owsley County,H1"
1087,"KY,21,191,Pendleton County,H1"
1088,"KY,21,193,Perry County,H1"
1089,"KY,21,195,Pike County,H1"
1090,"KY,21,197,Powell County,H1"
1091,"KY,21,199,Pulaski County,H1"
1092,"KY,21,201,Robertson County,H1"
1093,"KY,21,203,Rockcastle County,H1"
1094,"KY,21,205,Rowan County,H1"
1095,"KY,21,207,Russell County,H1"
1096,"KY,21,209,Scott County,H1"
1097,"KY,21,211,Shelby County,H1"
1098,"KY,21,213,Simpson County,H1"
1099,"KY,21,215,Spencer County,H1"
1100,"KY,21,217,Taylor County,H1"
1101,"KY,21,219,Todd County,H1"
1102,"KY,21,221,Trigg County,H1"
1103,"KY,21,223,Trimble County,H1"
1104,"KY,21,225,Union County,H1"
1105,"KY,21,227,Warren County,H1"
1106,"KY,21,229,Washington County,H1"
1107,"KY,21,231,Wayne County,H1"
1108,"KY,21,233,Webster County,H1"
1109,"KY,21,235,Whitley County,H1"
1110,"KY,21,237,Wolfe County,H1"
1111,"KY,21,239,Woodford County,H1"
1112,"LA,22,001,Acadia Parish,H1"
1113,"LA,22,003,Allen Parish,H1"
1114,"LA,22,005,Ascension Parish,H1"
1115,"LA,22,007,Assumption Parish,H1"
1116,"LA,22,009,Avoyelles Parish,H1"
1117,"LA,22,011,Beauregard Parish,H1"
1118,"LA,22,013,Bienville Parish,H1"
1119,"LA,22,015,Bossier Parish,H1"
1120,"LA,22,017,Caddo Parish,H1"
1121,"LA,22,019,Calcasieu Parish,H1"
1122,"LA,22,021,Caldwell Parish,H1"
1123,"LA,22,023,Cameron Parish,H1"
1124,"LA,22,025,Catahoula Parish,H1"
1125,"LA,22,027,Claiborne Parish,H1"
1126,"LA,22,029,Concordia Parish,H1"
1127,"LA,22,031,De Soto Parish,H1"
1128,"LA,22,033,East Baton Rouge Parish,H1"
1129,"LA,22,035,East Carroll Parish,H1"
1130,"LA,22,037,East Feliciana Parish,H1"
1131,"LA,22,039,Evangeline Parish,H1"
1132,"LA,22,041,Franklin Parish,H1"
1133,"LA,22,043,Grant Parish,H1"
1134,"LA,22,045,Iberia Parish,H1"
1135,"LA,22,047,Iberville Parish,H1"
1136,"LA,22,049,Jackson Parish,H1"
1137,"LA,22,051,Jefferson Parish,H1"
1138,"LA,22,053,Jefferson Davis Parish,H1"
1139,"LA,22,055,Lafayette Parish,H1"
1140,"LA,22,057,Lafourche Parish,H1"
1141,"LA,22,059,La Salle Parish,H1"
1142,"LA,22,061,Lincoln Parish,H1"
1143,"LA,22,063,Livingston Parish,H1"
1144,"LA,22,065,Madison Parish,H1"
1145,"LA,22,067,Morehouse Parish,H1"
1146,"LA,22,069,Natchitoches Parish,H1"
1147,"LA,22,071,Orleans Parish,H6"
1148,"LA,22,073,Ouachita Parish,H1"
1149,"LA,22,075,Plaquemines Parish,H1"
1150,"LA,22,077,Pointe Coupee Parish,H1"
1151,"LA,22,079,Rapides Parish,H1"
1152,"LA,22,081,Red River Parish,H1"
1153,"LA,22,083,Richland Parish,H1"
1154,"LA,22,085,Sabine Parish,H1"
1155,"LA,22,087,St. Bernard Parish,H1"
1156,"LA,22,089,St. Charles Parish,H1"
1157,"LA,22,091,St. Helena Parish,H1"
1158,"LA,22,093,St. James Parish,H1"
1159,"LA,22,095,St. John the Baptist Parish,H1"
1160,"LA,22,097,St. Landry Parish,H1"
1161,"LA,22,099,St. Martin Parish,H1"
1162,"LA,22,101,St. Mary Parish,H1"
1163,"LA,22,103,St. Tammany Parish,H1"
1164,"LA,22,105,Tangipahoa Parish,H1"
1165,"LA,22,107,Tensas Parish,H1"
1166,"LA,22,109,Terrebonne Parish,H1"
1167,"LA,22,111,Union Parish,H1"
1168,"LA,22,113,Vermilion Parish,H1"
1169,"LA,22,115,Vernon Parish,H1"
1170,"LA,22,117,Washington Parish,H1"
1171,"LA,22,119,Webster Parish,H1"
1172,"LA,22,121,West Baton Rouge Parish,H1"
1173,"LA,22,123,West Carroll Parish,H1"
1174,"LA,22,125,West Feliciana Parish,H1"
1175,"LA,22,127,Winn Parish,H1"
1176,"ME,23,001,Androscoggin County,H1"
1177,"ME,23,003,Aroostook County,H1"
1178,"ME,23,005,Cumberland County,H1"
1179,"ME,23,007,Franklin County,H1"
1180,"ME,23,009,Hancock County,H1"
1181,"ME,23,011,Kennebec County,H1"
1182,"ME,23,013,Knox County,H1"
1183,"ME,23,015,Lincoln County,H1"
1184,"ME,23,017,Oxford County,H1"
1185,"ME,23,019,Penobscot County,H1"
1186,"ME,23,021,Piscataquis County,H1"
1187,"ME,23,023,Sagadahoc County,H1"
1188,"ME,23,025,Somerset County,H1"
1189,"ME,23,027,Waldo County,H1"
1190,"ME,23,029,Washington County,H1"
1191,"ME,23,031,York County,H1"
1192,"MD,24,001,Allegany County,H1"
1193,"MD,24,003,Anne Arundel County,H1"
1194,"MD,24,005,Baltimore County,H1"
1195,"MD,24,009,Calvert County,H1"
1196,"MD,24,011,Caroline County,H1"
1197,"MD,24,013,Carroll County,H1"
1198,"MD,24,015,Cecil County,H1"
1199,"MD,24,017,Charles County,H1"
1200,"MD,24,019,Dorchester County,H1"
1201,"MD,24,021,Frederick County,H1"
1202,"MD,24,023,Garrett County,H1"
1203,"MD,24,025,Harford County,H1"
1204,"MD,24,027,Howard County,H1"
1205,"MD,24,029,Kent County,H1"
1206,"MD,24,031,Montgomery County,H1"
1207,"MD,24,033,Prince George's County,H1"
1208,"MD,24,035,Queen Anne's County,H1"
1209,"MD,24,037,St. Mary's County,H1"
1210,"MD,24,039,Somerset County,H1"
1211,"MD,24,041,Talbot County,H1"
1212,"MD,24,043,Washington County,H1"
1213,"MD,24,045,Wicomico County,H1"
1214,"MD,24,047,Worcester County,H1"
1215,"MD,24,510,Baltimore city,C7"
1216,"MA,25,001,Barnstable County,H1"
1217,"MA,25,003,Berkshire County,H4"
1218,"MA,25,005,Bristol County,H1"
1219,"MA,25,007,Dukes County,H1"
1220,"MA,25,009,Essex County,H4"
1221,"MA,25,011,Franklin County,H4"
1222,"MA,25,013,Hampden County,H4"
1223,"MA,25,015,Hampshire County,H4"
1224,"MA,25,017,Middlesex County,H4"
1225,"MA,25,019,Nantucket County,H4"
1226,"MA,25,021,Norfolk County,H1"
1227,"MA,25,023,Plymouth County,H1"
1228,"MA,25,025,Suffolk County,H4"
1229,"MA,25,027,Worcester County,H4"
1230,"MI,26,001,Alcona County,H1"
1231,"MI,26,003,Alger County,H1"
1232,"MI,26,005,Allegan County,H1"
1233,"MI,26,007,Alpena County,H1"
1234,"MI,26,009,Antrim County,H1"
1235,"MI,26,011,Arenac County,H1"
1236,"MI,26,013,Baraga County,H1"
1237,"MI,26,015,Barry County,H1"
1238,"MI,26,017,Bay County,H1"
1239,"MI,26,019,Benzie County,H1"
1240,"MI,26,021,Berrien County,H1"
1241,"MI,26,023,Branch County,H1"
1242,"MI,26,025,Calhoun County,H1"
1243,"MI,26,027,Cass County,H1"
1244,"MI,26,029,Charlevoix County,H1"
1245,"MI,26,031,Cheboygan County,H1"
1246,"MI,26,033,Chippewa County,H1"
1247,"MI,26,035,Clare County,H1"
1248,"MI,26,037,Clinton County,H1"
1249,"MI,26,039,Crawford County,H1"
1250,"MI,26,041,Delta County,H1"
1251,"MI,26,043,Dickinson County,H1"
1252,"MI,26,045,Eaton County,H1"
1253,"MI,26,047,Emmet County,H1"
1254,"MI,26,049,Genesee County,H1"
1255,"MI,26,051,Gladwin County,H1"
1256,"MI,26,053,Gogebic County,H1"
1257,"MI,26,055,Grand Traverse County,H1"
1258,"MI,26,057,Gratiot County,H1"
1259,"MI,26,059,Hillsdale County,H1"
1260,"MI,26,061,Houghton County,H1"
1261,"MI,26,063,Huron County,H1"
1262,"MI,26,065,Ingham County,H1"
1263,"MI,26,067,Ionia County,H1"
1264,"MI,26,069,Iosco County,H1"
1265,"MI,26,071,Iron County,H1"
1266,"MI,26,073,Isabella County,H1"
1267,"MI,26,075,Jackson County,H1"
1268,"MI,26,077,Kalamazoo County,H1"
1269,"MI,26,079,Kalkaska County,H1"
1270,"MI,26,081,Kent County,H1"
1271,"MI,26,083,Keweenaw County,H1"
1272,"MI,26,085,Lake County,H1"
1273,"MI,26,087,Lapeer County,H1"
1274,"MI,26,089,Leelanau County,H1"
1275,"MI,26,091,Lenawee County,H1"
1276,"MI,26,093,Livingston County,H1"
1277,"MI,26,095,Luce County,H1"
1278,"MI,26,097,Mackinac County,H1"
1279,"MI,26,099,Macomb County,H1"
1280,"MI,26,101,Manistee County,H1"
1281,"MI,26,103,Marquette County,H1"
1282,"MI,26,105,Mason County,H1"
1283,"MI,26,107,Mecosta County,H1"
1284,"MI,26,109,Menominee County,H1"
1285,"MI,26,111,Midland County,H1"
1286,"MI,26,113,Missaukee County,H1"
1287,"MI,26,115,Monroe County,H1"
1288,"MI,26,117,Montcalm County,H1"
1289,"MI,26,119,Montmorency County,H1"
1290,"MI,26,121,Muskegon County,H1"
1291,"MI,26,123,Newaygo County,H1"
1292,"MI,26,125,Oakland County,H1"
1293,"MI,26,127,Oceana County,H1"
1294,"MI,26,129,Ogemaw County,H1"
1295,"MI,26,131,Ontonagon County,H1"
1296,"MI,26,133,Osceola County,H1"
1297,"MI,26,135,Oscoda County,H1"
1298,"MI,26,137,Otsego County,H1"
1299,"MI,26,139,Ottawa County,H1"
1300,"MI,26,141,Presque Isle County,H1"
1301,"MI,26,143,Roscommon County,H1"
1302,"MI,26,145,Saginaw County,H1"
1303,"MI,26,147,St. Clair County,H1"
1304,"MI,26,149,St. Joseph County,H1"
1305,"MI,26,151,Sanilac County,H1"
1306,"MI,26,153,Schoolcraft County,H1"
1307,"MI,26,155,Shiawassee County,H1"
1308,"MI,26,157,Tuscola County,H1"
1309,"MI,26,159,Van Buren County,H1"
1310,"MI,26,161,Washtenaw County,H1"
1311,"MI,26,163,Wayne County,H1"
1312,"MI,26,165,Wexford County,H1"
1313,"MN,27,001,Aitkin County,H1"
1314,"MN,27,003,Anoka County,H1"
1315,"MN,27,005,Becker County,H1"
1316,"MN,27,007,Beltrami County,H1"
1317,"MN,27,009,Benton County,H1"
1318,"MN,27,011,Big Stone County,H1"
1319,"MN,27,013,Blue Earth County,H1"
1320,"MN,27,015,Brown County,H1"
1321,"MN,27,017,Carlton County,H1"
1322,"MN,27,019,Carver County,H1"
1323,"MN,27,021,Cass County,H1"
1324,"MN,27,023,Chippewa County,H1"
1325,"MN,27,025,Chisago County,H1"
1326,"MN,27,027,Clay County,H1"
1327,"MN,27,029,Clearwater County,H1"
1328,"MN,27,031,Cook County,H1"
1329,"MN,27,033,Cottonwood County,H1"
1330,"MN,27,035,Crow Wing County,H1"
1331,"MN,27,037,Dakota County,H1"
1332,"MN,27,039,Dodge County,H1"
1333,"MN,27,041,Douglas County,H1"
1334,"MN,27,043,Faribault County,H1"
1335,"MN,27,045,Fillmore County,H1"
1336,"MN,27,047,Freeborn County,H1"
1337,"MN,27,049,Goodhue County,H1"
1338,"MN,27,051,Grant County,H1"
1339,"MN,27,053,Hennepin County,H1"
1340,"MN,27,055,Houston County,H1"
1341,"MN,27,057,Hubbard County,H1"
1342,"MN,27,059,Isanti County,H1"
1343,"MN,27,061,Itasca County,H1"
1344,"MN,27,063,Jackson County,H1"
1345,"MN,27,065,Kanabec County,H1"
1346,"MN,27,067,Kandiyohi County,H1"
1347,"MN,27,069,Kittson County,H1"
1348,"MN,27,071,Koochiching County,H1"
1349,"MN,27,073,Lac qui Parle County,H1"
1350,"MN,27,075,Lake County,H1"
1351,"MN,27,077,Lake of the Woods County,H1"
1352,"MN,27,079,Le Sueur County,H1"
1353,"MN,27,081,Lincoln County,H1"
1354,"MN,27,083,Lyon County,H1"
