,Name ,County ,Acres ,Start Date ,Contained Date ,Unnamed: 5
33,Power,Amador,"16,800",6-Oct-04,21-Oct-04,
34,Rumsey,Yolo,"39,138",10-Oct-04,16-Oct-04,
35,Freds,El Dorado,"7,700",13-Oct-04,17-Oct-04, 
0,Dos Amigos,Merced,"1,232",3-Jun-05,3-Jun-05,
1,Five,Fresno,"5,514",4-Jun-05,5-Jun-05,
2,Sperry,Stanislaus,"1,330",4-Jun-05,4-Jun-05,
3,Pioneer,San Bernardino,"1,876",18-Jun-05,19-Jun-05,
4,Paradise,San Bernardino,"3,082",22-Jun-05,25-Jun-05,
5,Soboba,Riverside,"2,000",22-Jun-05,24-Jun-05,
6,Hackberry,San Bernardino,"71,000",22-Jun-05,27-Jun-05,
7,Bailey,Madera,"1,056",2-Jul-05,2-Jul-05,
8,Tovey,Los Angeles,"1,200",5-Jul-05,6-Jul-05,
9,Millwood,Tulare,"2,600",7-Jul-05,7-Jul-05,
10,Nine,Tulare,"1,150",9-Jul-05,9-Jul-05,
11,Tesla,Alameda,"6,744",19-Jul-05,20-Jul-05,
12,China Lake,Kern,"1,282",19-Jul-05,19-Jul-05,
13,Kingston,San Bernardino,"3,500",22-Jul-05,23-Jul-05,
14,Cowpie,Merced,"3,200",1-Aug-05,1-Aug-05,
15,Halloran,San Bernardino,"1,500",3-Aug-05,3-Aug-05,
16,Deer,Lake,"1,700",9-Aug-05,9-Aug-05,
17,ThirySix,Tehama,"2,700",10-Aug-05,11-Aug-05,
18,Barrel,Modoc,"24,800",22-Aug-05,22-Aug-05,
19,Harding,Sierra,"2,270",24-Aug-05,24-Aug-05,
20,Manton,Tehama,"1,830",26-Aug-05,29-Aug-05,
21,Blaisdell,Riverside,"5,493",26-Aug-05,30-Aug-05,
22,Gorman,Kern,"2,386",3-Sep-05,5-Sep-05,
23,Pine,Tulare,"1,600",19-Sep-05,19-Sep-05,
24,Topanga,San Bernardino,"24,175",28-Sep-05,7-Oct-05,
25,San Timoteo,Riverside,"1,100",28-Sep-05,28-Sep-05,
26,Harvard,Los Angeles,"1,094",29-Sep-05,4-Oct-05,
27,River,Madera,"6,000",5-Oct-05,5-Oct-05,
28,Border 50,San Diego,"4,103",5-Oct-05,8-Oct-05,
29,Woodhouse,Riverside,"6,500",5-Oct-05,7-Oct-05,
30,School,Ventura,"3,891",18-Nov-05,19-Nov-05,
0,Sierra,Riverside,"10,584",6-Feb-06,6-Feb-06,
1,Hotlum,Siskiyou,"3,019",25-Feb-06,27-Feb-06,
2,Torch,Fresno,"1,964",13-May-06,14-May-06,
3,Stuhr,Stanislaus,"1,418",26-May-06,26-May-06,
4,Alpaugh,Tulare,"1,700",27-May-06,27-May-06,
5,Perkins,Santa Barbara,"14,988",19-Jun-06,26-Jun-06,
6,Boulder Complex,Plumas,"3,500",25-Jun-06,5-Jul-06,
7,Observation Complex,Lassen,"4,300",25-Jun-06,30-Jun-06,
8,Goodale,Inyo,"3,750",26-Jun-06,29-Jun-06,
9,Yolla Bolly,Tehama,"1,247",27-Jun-06,27-Jun-06,
10,Del Puerto,Stanislaus,"2,590",30-Jun-06,3-Jul-06,
11,Pedro,Tuolumne,"2,000",3-Jul-06,5-Jul-06,
12,Pushwalla Complex,Riverside,"2,000",7-Jul-06,10-Jul-06,
13,Happy Complex,Modoc,"1,780",9-Jul-06,9-Jul-06,
14,Canyon,Stanislaus,"34,000",9-Jul-06,17-Jul-06,
15,Sawtooth Complex,San Bernardino,"62,000",9-Jul-06,20-Jul-06,
16,Millard Fire Assist,Riverside,"24,210",9-Jul-06,9-Jul-06,
17,Beck,San Luis Obispo,"1,500",11-Jul-06,12-Jul-06,
18,Midway,Alameda,"6,400",11-Jul-06,11-Jul-06,
19,Creek,Lassen,"1,234",18-Jul-06,21-Jul-06,
20,Coytoe,Tulare,"1,325",20-Jul-06,21-Jul-06,
21,Olive,Merced,"25,007",21-Jul-06,21-Jul-06,
22,Ricco,Monterey,"14,506",22-Jul-06,27-Jul-06,
23,Three Rocks,Fresno,"8,400",22-Jul-06,22-Jul-06,
24,Horse,San Diego,"16,681",23-Jul-06,1-Aug-06,
25,Happy Camp,Siskiyou,"3,318",23-Jul-06,24-Sep-06,
26,Uncles Complex,Siskiyou,"30,454",23-Jul-06,31-Oct-06,
27,Oorleans Complex,Humboldt,"15,710",24-Jul-06,30-Sep-06,
28,Empire,Los Angeles,"1,094",25-Jul-06,25-Jul-06,
29,Hunter,Mendocino,"16,296",26-Jul-06,26-Jul-06,
30,Hoy,Siskiyou,"1,283",26-Jul-06,28-Jul-06,
31,Bar Complex,Trinity,"100,414",27-Jul-06,27-Jul-06,
32,Sage,Modoc,"4,855",27-Jul-06,5-Aug-06,
33,Junction,Trinity,"3,126",29-Jul-06,29-Jul-06,
34,Kingsley,Tehama,"6,854",2-Aug-06,2-Aug-06,
35,Cottonwood,Kern,"2,346",5-Aug-06,6-Aug-06,
36,Quail,Los Angeles,"4,864",13-Aug-06,16-Aug-06,
37,Pigeon,Trinity,"6,452",2-Sep-06,16-Oct-06,
38,Day,Ventura,"169,702",4-Sep-06,2-Oct-06,
39,Ralston,Placer,"8,423",5-Sep-06,18-Sep-06,
40,Sawmill,Mono,"7,434",14-Sep-06,15-Sep-06,
41,Orchard,Riverside,"1,580",16-Sep-06,16-Sep-06,
42,Ranch,Riverside,"1,670",17-Sep-06,17-Sep-06,
43,Pinnacles,San Bernardino,"2,370",19-Sep-06,21-Sep-06,
44,Bassetts,Sierra,"2,114",19-Sep-06,26-Sep-06,
