Name,County,Acres,Start Date,Contained Date,active,Percent contained,Difference,Year
Motor,Mariposa,5231,2011-08-25,2011-09-04,False,100,10,2011
Wells,San Bernardino,1723,2011-08-28,2011-08-31,False,100,3,2011
Hill,San Bernardino,1135,2011-09-02,2011-09-02,False,100,0,2011
Soda,San Luis Obispo,1528,2011-09-03,2011-09-04,False,100,1,2011
Canyon,Kern,14585,2011-09-04,2011-09-11,False,100,7,2011
Milton,San Joaquin,1122,2011-09-09,2011-09-11,False,100,2,2011
Keene Complex,Kern,2577,2011-09-10,2011-09-14,False,100,4,2011
Comanche Complex,Kern,29338,2011-09-10,2011-09-14,False,100,4,2011
Breckenridge Complex,Kern,25213,2011-09-10,2011-09-17,False,100,7,2011
John,Inyo,5300,2011-09-13,2011-09-16,False,100,3,2011
Tamarack,Mariposa,1011,2011-09-13,2011-10-17,False,100,34,2011
65 Fire,Kern,2005,2011-09-23,2011-09-23,False,100,0,2011
Ruth,Trinity,1460,2011-09-23,2011-09-28,False,100,5,2011
Buckeye,Mono,1140,2011-09-25,2011-09-27,False,100,2,2011
Great,San Diego,2135,2011-10-01,2011-10-07,False,100,6,2011
Banner,San Diego,5320,2012-05-24,2012-05-29,False,100,5,2012
George,Tulare,1707,2012-06-01,2012-06-15,False,100,14,2012
Gaines,Mariposa,1700,2012-06-12,2012-06-14,False,100,2,2012
Highland,Riverside,2171,2012-06-16,2012-06-18,False,100,2,2012
Cascade,Mariposa,1705,2012-06-16,2012-11-26,False,100,163,2012
Dale,Shasta,1083,2012-07-05,2012-07-07,False,100,2,2012
Fish,Inyo,1103,2012-07-07,2012-07-09,False,100,2,2012
Mill,Colusa,29502,2012-07-07,2012-07-18,False,100,11,2012
Grapevine,Colusa,1870,2012-07-08,2012-07-12,False,100,4,2012
Rail,Colusa,1870,2012-07-09,2012-07-12,False,100,3,2012
Turkey,Monterey,2529,2012-07-09,2012-07-20,False,100,11,2012
Robbers,Placer,2650,2012-07-11,2012-07-21,False,100,10,2012
Flat,Trinity,1688,2012-07-11,2012-07-17,False,100,6,2012
Sand,Kern,1428,2012-07-14,2012-07-19,False,100,5,2012
Spanish,Lassen,1169,2012-07-18,2012-07-21,False,100,3,2012
Reading,Shasta,28079,2012-07-23,2012-08-21,False,100,29,2012
Chips,Plumas,75217,2012-07-29,2012-08-31,False,100,33,2012
Rushmore,Riverside,1000,2012-08-04,2012-08-04,False,100,0,2012
Piute Comlex,Kern,1783,2012-08-04,2012-08-11,False,100,7,2012
Lake Complex,Modoc,1668,2012-08-05,2012-08-09,False,100,4,2012
Fort Complex,Siskiyou,23653,2012-08-05,2012-09-10,False,100,36,2012
Barry Point,Modoc,38394,2012-08-06,2012-08-28,False,100,22,2012
Indian,Mono,12574,2012-08-08,2012-08-15,False,100,7,2012
Chihuahua,San Diego,2006,2012-08-09,2012-08-12,False,100,3,2012
Jawbone Complex,Kern,1218,2012-08-10,2012-08-22,False,100,12,2012
Ramsey,Calaveras,1137,2012-08-11,2012-08-31,False,100,20,2012
Wye,Lake,2934,2012-08-12,2012-08-18,False,100,6,2012
Walker,Lake,5000,2012-08-12,2012-08-14,False,100,2,2012
Rush,Lassen,271911,2012-08-12,2012-08-31,False,100,19,2012
Vallecito Lightning Complex,San Diego,22829,2012-08-13,2012-08-20,False,100,7,2012
Mill,Tehama,1641,2012-08-13,2012-08-23,False,100,10,2012
Buck,Riverside,2681,2012-08-14,2012-08-18,False,100,4,2012
Nelson,Modoc,3661,2012-08-17,2012-08-21,False,100,4,2012
Ponderosa,Tehama,27676,2012-08-18,2012-09-02,False,100,15,2012
Bagley Complex,Shasta,1000,2012-08-18,2012-08-22,False,100,4,2012
North Pass,Mendocino,41983,2012-08-18,2012-09-16,False,100,29,2012
Bagley,Shasta,46011,2012-08-18,2012-09-15,False,100,28,2012
Williams,Los Angeles,4192,2012-09-02,2012-09-11,False,100,9,2012
Sixteen Complex,Colusa,19000,2012-09-04,2012-09-11,False,100,7,2012
Stafford,Trinity,4407,2012-09-05,2012-09-13,False,100,8,2012
Likely,Lassen,9838,2012-09-05,2012-09-14,False,100,9,2012
Scotts,Lake,4517,2012-09-07,2012-09-14,False,100,7,2012
Shockey,San Diego,2555,2012-09-23,2012-09-27,False,100,4,2012
Panther,Tehama,6896,2013-05-01,2013-05-09,False,100,8,2013
Summit,Riverside,3161,2013-05-01,2013-05-04,False,100,3,2013
Springs,Ventura,24251,2013-05-02,2013-05-09,False,100,7,2013
Grand,Kern,4346,2013-05-15,2013-05-22,False,100,7,2013
Felipe,San Diego,2650,2013-05-23,2013-05-29,False,100,6,2013
General,San Diego,2500,2013-05-26,2013-05-31,False,100,5,2013
White,Santa Barbara,1984,2013-05-27,2013-06-05,False,100,9,2013
Powerhouse,Los Angeles,30274,2013-05-30,2013-06-10,False,100,11,2013
Hathaway,Riverside,3870,2013-06-09,2013-10-15,False,100,128,2013
Carstens,Mariposa,1708,2013-06-16,2013-06-26,False,100,10,2013
Chariot,San Diego,7055,2013-07-06,2013-07-15,False,100,9,2013
Mountain,Riverside,27531,2013-07-15,2013-07-31,False,100,16,2013
Aspen,Fresno,22992,2013-07-22,2013-09-08,False,100,48,2013
Forks Complex,Siskiyou,37246,2013-07-31,2013-10-01,False,100,62,2013
Falls,Riverside,1383,2013-08-05,2013-08-09,False,100,4,2013
Power,Tuolumne,1070,2013-08-05,2013-08-13,False,100,8,2013
Silver,Riverside,20292,2013-08-07,2013-08-12,False,100,5,2013
Corral Complex,Humboldt,12503,2013-08-10,2013-10-02,False,100,53,2013
American,Placer,22407,2013-08-11,2013-08-29,False,100,18,2013
Swedes,Butte,2264,2013-08-16,2013-08-22,False,100,6,2013
Rim,Tuolumne,257314,2013-08-17,2013-10-27,False,100,71,2013
Mission,Monterey,4500,2013-08-22,2013-08-25,False,100,3,2013
Deer,Tehama,11429,2013-08-23,2013-08-29,False,100,6,2013
Fish,Tulare,2060,2013-08-23,2013-09-05,False,100,13,2013
Morgan,Contra Costa,3100,2013-09-08,2013-09-14,False,100,6,2013
Clover,Shasta,8073,2013-09-09,2013-09-15,False,100,6,2013
Deluz,San Diego,2236,2013-10-05,2013-10-09,False,100,4,2013
Mccabe,Sonoma,3505,2013-11-22,2013-11-28,False,100,6,2013
Soda,Tulare,1612,2014-01-14,2014-02-15,False,100,32,2014
Colby,Los Angeles,1952,2014-01-16,2014-01-21,False,100,5,2014
Etiwanda,San Bernardino,2200,2014-04-30,2014-05-09,False,100,9,2014
Bernardo,San Diego,1548,2014-05-13,2014-05-17,False,100,4,2014
Tomahawk,San Diego,5367,2014-05-14,2014-05-19,False,100,5,2014
Poinsettia,San Diego,600,2014-05-14,2014-05-17,False,100,3,2014
Cocos,San Diego,1995,2014-05-14,2014-05-22,False,100,8,2014
Pulgas,San Diego,14416,2014-05-15,2014-05-21,False,100,6,2014
